ID,CS,硬度,膠料縮水,M/L,"0塊料
1擠料",機台壓力,填充率,ID縮水,CSH縮水
3.68 ,1.78 ,74.6,3.40%,4.56 ,0,60,92.86%,3.02%,3.33%
4.47 ,1.78 ,67,4.00%,2.50 ,0,60,82.80%,2.68%,7.51%
4.47 ,1.78 ,67,4.00%,2.50 ,0,60,101.91%,2.00%,4.49%
7.65 ,1.78 ,70,2.70%,3.97 ,0,60,83.33%,1.82%,8.72%
7.59 ,2.62 ,79.5,2.60%,6.05 ,0,60,93.69%,1.17%,4.18%
10.77 ,2.62 ,67,4.00%,2.50 ,0,90,99.53%,3.78%,8.27%
10.77 ,2.62 ,67,4.00%,2.50 ,0,110,113.53%,3.69%,6.18%
10.77 ,2.62 ,76.8,3.20%,2.07 ,0,120,111.82%,4.06%,6.59%
10.77 ,2.62 ,74.6,3.40%,4.56 ,0,130,80.62%,4.25%,2.61%
13.94 ,2.62 ,67,4.00%,2.50 ,0,60,88.64%,3.77%,6.15%
13.94 ,2.62 ,70,2.70%,3.97 ,0,60,82.81%,2.96%,7.81%
13.94 ,2.62 ,73.4,3.10%,3.63 ,0,60,90.48%,2.96%,7.81%
13.94 ,2.62 ,74.2,4.70%,5.37 ,0,60,88.56%,4.22%,5.75%
15.54 ,2.62 ,70,2.70%,3.97 ,0,60,87.26%,1.79%,7.84%
15.54 ,2.62 ,73.4,3.10%,3.63 ,0,60,89.32%,2.64%,6.59%
23.47 ,2.62 ,76.8,3.20%,2.07 ,0,120,104.10%,4.17%,2.61%
25.07 ,2.62 ,76,2.90%,4.00 ,0,50,90.57%,2.72%,4.56%
25.07 ,2.62 ,79.5,2.60%,6.05 ,1,70,88.37%,3.34%,5.79%
28.24 ,2.62 ,70,2.70%,3.97 ,1,60,85.34%,2.76%,7.09%
28.24 ,2.62 ,74.7,3.80%,6.34 ,0,60,102.34%,4.03%,3.42%
28.24 ,2.62 ,74.7,3.80%,6.34 ,0,60,94.78%,4.06%,3.82%
31.42 ,2.62 ,74.7,3.80%,6.34 ,0,130,98.15%,4.09%,4.96%
32.99 ,2.62 ,74.6,3.40%,4.56 ,0,60,86.21%,2.73%,6.59%
42.52 ,2.62 ,70,2.70%,3.97 ,1,60,85.71%,3.18%,6.56%
44.12 ,2.61 ,79.5,2.60%,6.05 ,1,100,89.89%,2.69%,4.20%
5.94 ,3.53 ,70,2.70%,3.97 ,0,60,95.11%,1.81%,6.92%
5.94 ,3.53 ,75,3.45%,3.82 ,0,60,98.80%,2.16%,4.80%
9.12 ,3.53 ,70,2.70%,3.97 ,0,60,84.40%,2.86%,7.29%
9.12 ,3.53 ,70,2.70%,3.97 ,0,60,88.32%,2.30%,5.75%
9.12 ,3.53 ,73.4,3.10%,3.63 ,0,50,86.47%,4.46%,6.03%
10.69 ,3.53 ,70,2.70%,3.97 ,0,60,84.13%,2.04%,8.21%
10.69 ,3.53 ,70,2.70%,3.97 ,0,60,97.14%,2.50%,5.10%
10.69 ,3.53 ,73.4,3.10%,3.63 ,0,100,95.87%,2.43%,5.73%
15.47 ,3.53 ,70.3,3.80%,5.17 ,0,80,95.72%,3.29%,7.27%
15.47 ,3.53 ,79.5,2.60%,6.05 ,1,100,94.26%,2.86%,6.96%
15.47 ,3.53 ,79.5,2.60%,6.05 ,1,100,98.88%,2.13%,6.03%
18.64 ,3.53 ,70,2.70%,3.97 ,1,80,92.68%,2.57%,5.16%
18.64 ,3.53 ,74.6,2.70%,4.08 ,1,60,92.68%,2.46%,5.16%
20.22 ,3.53 ,79.5,2.60%,6.05 ,1,60,88.82%,2.55%,4.87%
24.99 ,3.53 ,76.8,3.20%,2.07 ,0,130,92.88%,3.44%,6.61%
24.99 ,3.53 ,68.9,3.60%,2.92 ,0,70,91.12%,5.24%,6.00%
24.99 ,3.53 ,70,2.70%,3.97 ,1,60,90.03%,3.71%,7.25%
24.99 ,3.53 ,70,2.70%,3.97 ,1,60,95.28%,3.62%,6.63%
24.99 ,3.53 ,72.9,3.10%,4.05 ,1,60,92.33%,2.94%,5.10%
26.57 ,3.53 ,74.2,4.70%,5.37 ,0,40,86.73%,3.89%,5.38%
34.52 ,3.53 ,67,4.00%,2.50 ,1,90,87.81%,3.41%,5.17%
34.52 ,3.53 ,67,4.00%,2.50 ,1,110,91.28%,3.26%,4.87%
34.52 ,3.53 ,70,2.70%,6.52 ,1,90,91.99%,2.89%,7.29%
34.52 ,3.53 ,70,2.70%,6.52 ,1,60,97.62%,1.97%,6.67%
36.09 ,3.53 ,72.8,3.20%,2.44 ,0,60,92.02%,3.56%,5.19%
36.09 ,3.53 ,72.8,3.20%,2.44 ,1,130,91.27%,2.67%,4.29%
37.69 ,3.53 ,79.5,2.60%,6.05 ,1,100,90.85%,2.04%,5.19%
37.69 ,3.53 ,72.9,3.10%,4.05 ,1,100,86.96%,3.65%,5.43%
40.87 ,3.53 ,76.8,3.20%,2.07 ,1,120,101.28%,3.74%,1.38%
40.87 ,3.53 ,67,3.10%,2.82 ,1,60,84.31%,3.71%,6.38%
40.87 ,3.53 ,70,2.70%,3.97 ,1,60,91.04%,3.64%,6.32%
40.87 ,3.53 ,70,2.70%,3.97 ,1,60,92.16%,3.29%,6.02%
44.04 ,3.53 ,71.3,4.00%,10.59 ,0,60,99.43%,2.05%,4.49%
44.04 ,3.53 ,71.3,4.00%,10.59 ,0,90,97.44%,4.61%,4.49%
44.04 ,3.53 ,74.7,3.80%,6.34 ,1,110,100.83%,2.42%,3.62%
